item_id,item_category_id
0,40
1,76
2,40
3,40
4,40
5,40
6,40
7,40
8,40
9,40
10,40
11,40
12,55
13,40
14,40
15,40
16,40
17,40
18,40
19,40
20,40
21,40
22,40
23,40
24,40
25,40
26,40
27,19
28,30
29,23
30,40
31,37
32,40
33,37
34,40
35,40
36,37
37,40
38,41
39,41
40,57
41,57
42,57
43,40
44,57
45,57
46,57
47,57
48,57
49,57
50,57
51,57
52,57
53,57
54,57
55,43
56,57
57,57
58,78
59,57
60,43
61,43
62,37
63,40
64,40
65,37
66,37
67,40
68,30
69,54
70,49
71,37
72,40
73,40
74,37
75,40
76,37
77,40
78,40
79,40
80,37
81,40
82,37
83,40
84,40
85,37
86,40
87,37
88,40
89,40
90,40
91,37
92,37
93,43
94,40
95,40
96,40
97,40
98,40
99,37
100,40
101,78
102,76
103,76
104,76
105,30
106,30
107,44
108,44
109,57
110,44
111,57
112,44
113,57
114,44
115,57
116,57
117,44
118,44
119,44
120,44
121,44
122,44
123,44
124,44
125,44
126,44
127,44
128,44
129,44
130,44
131,44
132,44
133,45
134,45
135,45
136,45
137,44
138,45
139,45
140,45
141,44
142,45
143,45
144,44
145,44
146,44
147,44
148,44
149,45
150,44
151,45
152,45
153,45
154,45
155,45
156,45
157,44
158,44
159,44
160,44
161,44
162,45
163,44
164,44
165,45
166,45
167,44
168,44
169,44
170,45
171,45
172,45
173,45
174,44
175,45
176,45
177,45
178,45
179,45
180,44
181,44
182,44
183,44
184,44
185,44
186,44
187,44
188,44
189,44
190,44
191,44
192,44
193,44
194,44
195,44
196,44
197,45
198,45
199,45
200,45
201,44
202,45
203,44
204,44
205,45
206,44
207,45
208,44
209,44
210,45
211,44
212,44
213,45
214,44
215,45
216,44
217,44
218,45
219,45
220,44
221,44
222,44
223,44
224,45
225,45
226,45
227,44
228,45
229,44
230,45
231,44
232,45
233,45
234,45
235,45
236,45
237,45
238,45
239,44
240,44
241,44
242,44
243,45
244,45
245,44
246,45
247,45
248,45
249,45
250,44
251,44
252,45
253,45
254,44
255,44
256,44
257,45
258,45
259,45
260,44
261,44
262,44
263,45
264,45
265,45
266,44
267,45
268,44
269,45
270,45
271,44
272,45
273,45
274,44
275,44
276,45
277,45
278,45
279,44
280,45
281,45
282,45
283,45
284,45
285,45
286,44
287,44
288,44
289,44
290,45
291,44
292,45
293,45
294,45
295,45
296,44
297,45
298,45
299,44
300,44
301,44
302,45
303,45
304,44
305,44
306,45
307,44
308,45
309,44
310,45
311,45
312,45
313,45
314,45
315,45
316,45
317,45
318,45
319,45
320,45
321,45
322,45
323,44
324,45
325,45
326,45
327,44
328,45
329,45
330,44
331,45
332,44
333,45
334,44
335,45
336,44
337,44
338,44
339,44
340,44
341,44
342,44
343,44
344,44
345,44
346,44
347,44
348,44
349,44
350,44
351,45
352,44
353,45
354,45
355,44
356,45
357,45
358,44
359,44
360,44
361,44
362,44
363,45
364,44
365,45
366,45
367,45
368,45
369,45
370,45
371,45
372,45
373,45
374,44
375,45
376,45
377,45
378,45
379,44
380,45
381,44
382,45
383,44
384,45
385,45
386,45
387,45
388,45
389,45
390,45
391,45
392,45
393,45
394,44
395,44
396,44
397,45
398,45
399,45
400,44
401,45
402,44
403,44
404,44
405,45
406,45
407,45
408,45
409,45
410,45
411,45
412,44
413,45
414,45
415,44
416,44
417,45
418,45
419,45
420,44
421,45
422,44
423,45
424,45
425,45
426,45
427,45
428,45
429,45
430,45
431,45
432,45
433,45
434,44
435,45
436,45
437,44
438,45
439,45
440,45
441,45
442,45
443,45
444,45
445,45
446,44
447,44
448,45
449,45
450,45
451,45
452,44
453,45
454,45
455,44
456,45
457,45
458,45
459,45
460,45
461,45
462,45
463,44
464,49
465,77
466,77
467,77
468,77
469,77
470,78
471,49
472,49
473,49
474,49
475,73
476,73
477,73
478,73
479,49
480,54
481,49
482,73
483,73
484,73
485,73
486,73
487,77
488,78
489,77
490,78
491,73
492,76
493,54
494,49
495,76
496,73
497,54
498,49
499,30
500,30
